源节点,目标节点,担保时间,担保类型,担保金额
T3ffb06aff153e54443cdc95a98c1c30b,Tb56e1bed99256ba197bcd4fcef3a77eb,1900-1-1,Focus,0
T4007a305a7cf01f4efc75cdb368f4fc6,T1bd920d367f804ea1150b2e5229822d5,1900-1-1,Chain,0
T405073bb739c1a0a07bd2490e7a5a176,T0da79e029bfbe37a85174e54b4a0b8a5,1900-1-1,Focus,0
T406d66826fe7a4fe7d00e8d081f9ab08,T5112e85570ab51ddb86d6ad3d050f24f,1900-1-1,Focus,0
T406d66826fe7a4fe7d00e8d081f9ab08,Tf8ca58f3ab82d07b08bb7421b3f1f0fd,1900-1-1,Focus,0
T40af3bca96c9b85790c22937e2fbd234,Tbb46d96c5b56ec813b03abc3d0083f3b,1900-1-1,Chain,0
T41418dc69b35ad992ffd7594953c67a0,T10d0fff5ce4d1bb8cecf58679d8df94c,1900-1-1,Circle,0
T41b32e5a1e1f56854be5d1d2c4d13f87,T3fcac446b93adcc6c18e5b8a3aba1311,1900-1-1,Focus,0
T428e6d3fd4d1a62d9761c6beaf6d4c18,Tcce6cc4b2c5d2bef0facd6b834c9beb6,1900-1-1,Chain,0
T4297c169a51ad3516bdf71bec9b16597,Tbac406cdaa37d5da50ae20f81d6bd936,1900-1-1,Focus,0
T42a178663934cd9b0168d78733559103,T28d2e2633ebd433fd06e229632b48bf7,1900-1-1,Focus,0
T42c939079b17355554e133a4e71adbb1,T940e5fbbc7bd2a3daa846eaca57f5385,1900-1-1,Focus,0
T42ea51dbf7d4fffcde92a1e3db8a9274,Td16f2d8a495eefdbfcba019d6ccd2b28,1900-1-1,Chain,0
T430dfb9a78d9b26259bf164db0064523,Tbac406cdaa37d5da50ae20f81d6bd936,1900-1-1,Focus,0
T4375d9d918d7acc2b78da46f7fbc351f,Td8de8ace000d81b2877698ca007b67d3,1900-1-1,Focus,0
T43a613f61d8ee4b3eda68727b98b1ae6,T1e0b57c752ab1255684e22b06037e4d6,1900-1-1,Focus,0
T43c83b977c0e75ea2c90d53a8d32a989,T57951bd537db8274c3ed9dae28a0c922,1900-1-1,Chain,0
T440cb13e14fca8918e548de1c847b905,T82dd37e06e63e92220662559db87f49e,1900-1-1,Focus,0
T442b7f1df1f335b91609a5fa70ff73ef,T2456b39e1e8684ca000c392187de78ff,1900-1-1,Focus,0
T442b7f1df1f335b91609a5fa70ff73ef,Tc76fae1a9adbd052da807875b8ae9f18,1900-1-1,Focus,0
T446642e4fe92b5f0a5136e29c389b610,T844f13d2563b3bcf2493b84d29d89ad4,1900-1-1,Cross,0
T44900a007d3a0173b0ae91bb0cbfff79,T6ba36dd3ebbb70b05412a5bcad24d970,1900-1-1,Focus,0
T449379bf0cf9d8667e8651478c0cd8fb,T1469522607b4c3ebad4bb5a520f7ac86,1900-1-1,Focus,0
T44acd263cda252ad8f0f63c29104281b,T622fbe7323013f6de0aa048e3cb382af,1900-1-1,Chain,0
T45290838bbe54c6a899c06ce743e8eed,T30ab7dc58116a26dd3cf734957e740a7,1900-1-1,Focus,0
